pfct_sn,pfct_nm,addr,instl_ymd,instl_place_cd_nm,prvt_pblc_yn_cd_nm,idrodr_cd_nm,incld_water,updated_date
1521,현대상무힐스테이트아파트 105동앞 놀이터,"광주광역시 서구 상무대로911번길 42(쌍촌동, 상무 힐스테이트)",2009-12-28,주택단지,민간,실외,미포함,2024-02-16
3292,미화어린이집 놀이터,광주광역시 남구 천변좌로586번길 27-2 (방림동),2005-01-01,주택단지,민간,실외,미포함,2024-02-16
3294,본량어린이집 놀이시설,광주광역시 광산구 용수길 45 (산수동),2014-07-01,주택단지,민간,실외,미포함,2024-02-16
3296,광산어린이집 놀이터,광주광역시 광산구 송도로212번길 50-9 (도산동),2006-03-10,주택단지,민간,실외,미포함,2024-02-16
3298,그린별어린이집 놀이터,광주광역시 광산구 임방울대로 138-12 (운남동),2004-03-02,도시공원,공공,실외,미포함,2024-02-16
4746,금호계림주상복합 어린이놀이시설,"광주광역시 동구 중앙로 358 (계림동, 금호계림주상복합)",1998-06-12,주택단지,민간,실내,미포함,2024-02-16
4752,두암타운아파트(106동) 어린이놀이시설,광주광역시 동구 밤실로 147 (산수동),1993-11-22,주택단지,민간,실외,미포함,2024-02-16
4753,두암타운아파트(111동) 어린이놀이시설,광주광역시 동구 밤실로 147 (산수동),1993-11-22,놀이제공영업소,민간,실내,미포함,2024-02-16
4755,산수 광명아파트 어린이놀이시설,광주광역시 동구 무등로 532 (산수동),1995-08-31,놀이제공영업소,민간,실내,미포함,2024-02-16
4756,대아아파트 101동놀이시설,"광주광역시 동구 지원로 35 (소태동, 대아아파트)",1993-08-11,어린이집,공공,실외,미포함,2024-02-16
4758,소태동 진아2차하이빌아파트 어린이놀이시설,광주광역시 동구 학소로42번길 12 (소태동),2003-10-31,주택단지,민간,실외,미포함,2024-02-16
4759,소태동 진아하이빌아파트 어린이놀이시설,광주광역시 동구 학소로 65 (소태동),1998-12-27,주택단지,민간,실외,포함,2024-02-16
4761,용산동 호반맨선3차 어린이놀이시설,"광주광역시 동구 화산로 328-6 (용산동, 호반아파트)",1991-10-26,주택단지,민간,실외,미포함,2024-02-16
4763,한국아파트 놀이시설,광주광역시 동구 화산로 352 (용산동),1997-04-23,주택단지,민간,실외,미포함,2024-02-16
4764,운림 라인광명아파트 어린이놀이시설,광주광역시 동구 운림길 58 (운림동),1997-02-17,종교시설,민간,실외,미포함,2024-02-16
4765,무등스위트맨션아파트 놀이시설,광주광역시 동구 운림길 68 (운림동),1995-02-18,주택단지,민간,실외,미포함,2024-02-16
4766,운림2차무등파크맨션아파트 어린이놀이시설,광주광역시 동구 운림길 29-10 (운림동),2014-03-18,주택단지,민간,실외,미포함,2024-02-16
4767,운림 무등1차아파트 어린이놀이시설,광주광역시 동구 운림길 23 (운림동),1990-07-11,놀이제공영업소,민간,실내,미포함,2024-02-16
4770,지산동 진아하이빌아파트 어린이놀이시설,광주광역시 동구 지호로86번길 3 (지산동),2003-03-11,놀이제공영업소,민간,실내,미포함,2024-02-16
4771,학동 현대아파트 어린이놀이시설,광주광역시 동구 증심천로89번길 16 (학동),1998-12-19,주택단지,민간,실외,미포함,2024-02-16
4772,학1마을아파트 101동옆놀이시설(어린이놀이터2),"광주광역시 동구 남문로 734 (학동, 학1마을)",2007-07-24,놀이제공영업소,민간,실내,미포함,2024-02-16
